,time,media35,media34,median24,media36
2018-06-01,303,309,269,237,350
2018-06-02,273,281,244,215,317
2018-06-03,287,285,253,224,319
2018-06-04,348,353,304,266,394
2018-06-05,289,293,261,233,321
2018-06-06,312,319,283,256,352
2018-06-07,403,405,349,303,457
2018-06-08,329,338,300,273,376
2018-06-09,320,325,282,254,369
2018-06-10,287,299,260,235,339
2018-06-11,313,316,278,246,352
2018-06-12,277,287,249,224,321
2018-06-13,345,348,301,261,389
2018-06-14,368,372,320,284,419
2018-06-15,381,384,338,300,427
2018-06-16,360,364,316,280,416
2018-06-17,382,391,349,319,432
2018-06-18,683,693,607,542,767
2018-06-19,519,527,461,402,590
2018-06-20,448,446,384,337,510
2018-06-21,605,611,527,457,691
2018-06-22,472,482,427,383,532
2018-06-23,477,482,420,376,540
2018-06-24,378,386,336,294,438
2018-06-25,393,405,356,316,447
2018-06-26,502,518,449,397,577
2018-06-27,459,466,413,373,516
2018-06-28,532,541,480,435,603
2018-06-29,506,519,453,400,573
2018-06-30,389,399,352,320,446
2018-07-01,486,497,431,377,557
2018-07-02,398,411,362,324,457
2018-07-03,537,543,480,423,598
2018-07-04,388,398,345,306,442
2018-07-05,374,381,337,302,418
2018-07-06,428,447,375,324,519
2018-07-07,486,498,414,365,577
2018-07-08,367,378,329,292,427
2018-07-09,474,484,417,365,542
2018-07-10,386,389,339,296,442
2018-07-11,398,406,346,305,469
2018-07-12,340,346,302,266,384
2018-07-13,400,408,349,310,465
2018-07-14,347,356,311,278,398
2018-07-15,365,369,324,295,407
2018-07-16,510,524,449,394,594
2018-07-17,416,418,369,322,467
2018-07-18,486,506,428,378,575
2018-07-19,419,425,381,343,462
2018-07-20,429,439,389,352,488
2018-07-21,441,452,389,341,513
2018-07-22,472,482,415,357,545
2018-07-23,480,494,430,382,551
2018-07-24,437,452,387,336,511
2018-07-25,435,442,384,337,500
2018-07-26,456,462,405,366,516
2018-07-27,412,415,367,330,464
2018-07-28,390,399,350,313,446
2018-07-29,406,410,361,317,456
2018-07-30,476,483,426,380,535
2018-07-31,443,447,387,337,500
2018-08-01,400,408,344,297,463
2018-08-02,412,419,370,326,469
2018-08-03,581,606,507,444,710
2018-08-04,971,1015,835,688,1175
2018-08-05,1469,1606,1222,1039,1932
2018-08-06,1191,1221,1024,858,1382
2018-08-07,463,477,391,333,562
2018-08-08,412,418,361,313,470
2018-08-09,389,400,345,301,451
2018-08-10,449,460,383,326,531
2018-08-11,376,384,322,275,448
2018-08-12,329,337,285,248,388
2018-08-13,329,337,294,261,376
2018-08-14,336,341,295,261,381
2018-08-15,305,311,278,255,340
2018-08-16,341,347,306,271,382
2018-08-17,374,386,327,288,438
2018-08-18,360,363,316,280,409
2018-08-19,364,378,332,298,426
2018-08-20,374,382,332,294,421
2018-08-21,407,416,357,316,467
2018-08-22,350,357,313,274,395
2018-08-23,385,401,341,306,454
2018-08-24,357,371,323,279,409
2018-08-25,306,313,272,246,352
2018-08-26,392,401,352,308,447
2018-08-27,362,368,313,276,422
2018-08-28,325,335,291,261,374
2018-08-29,328,339,300,276,372
2018-08-30,321,328,286,254,361
2018-08-31,253,327,283,307,244
